work_id,added_at,offer_url,position_name,company_name,company_location,type_of_contract,work_schedule,work_modes,employment_level,immediate_employment,ukrainian_without_polish_language,vacancies
17089,2022-12-02 13:48:57.231933+01,"https://www.pracuj.pl/praca/attorney-at-law-with-very-good-english-skills-warszawa-aleje-jerozolimskie-81,oferta,1002200721?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Attorney-at-law with very good English skills,ElectroMobility Poland S.A.,Warszawa,Kontrakt B2B,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
17090,2022-12-02 13:48:57.234027+01,"https://www.pracuj.pl/praca/starszy-specjalista-w-zespole-sprzedazy-internetowej-i-akwizycji-warszawa-stanislawa-zaryna-2a,oferta,1002205966?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Starszy Specjalista w Zespole Sprzedaży Internetowej i Akwizycji,Bank Millennium S.A.,"Warszawa, Mokotów",Umowa o pracę,Pełny etat,,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",,,
17091,2022-12-02 13:48:57.236627+01,"https://www.pracuj.pl/praca/praktykant-w-dziale-prawnym-warszawa,oferta,1002233305?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Praktykant w dziale prawnym,Andersen,Warszawa,Umowa o pracę,Pełny etat,praca stacjonarna,Praktykant / Stażysta,,,
17092,2022-12-02 13:48:57.2385+01,"https://www.pracuj.pl/praca/inzynier-budowy-branza-budowlana-warszawa,oferta,1002233316?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Inżynier budowy - branża budowlana,Climamedic Sp. z o.o. Sp. k.,Warszawa,"Umowa o pracę, Kontrakt B2B",Pełny etat,praca stacjonarna,"Młodszy specjalista (Junior), Specjalista (Mid / Regular)",,,szukamy wielu kandydatów
17093,2022-12-02 13:48:57.240381+01,"https://www.pracuj.pl/praca/junior-php-js-developer-tech-support-warszawa,oferta,1002242280?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Junior PHP/JS Developer - Tech Support,RTB House,Warszawa,"Umowa zlecenie, Kontrakt B2B",Pełny etat,praca zdalna,Młodszy specjalista (Junior),,,
17094,2022-12-02 13:48:57.242225+01,"https://www.pracuj.pl/praca/starszy-specjalista-ds-zakupow-ozarow-mazowiecki-poznanska-129-133,oferta,1002205956?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Starszy Specjalista ds. Zakupów,VIGO Photonics,Ożarów Mazowiecki,Umowa o pracę,Pełny etat,praca stacjonarna,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",praca od zaraz,,
17095,2022-12-02 13:48:57.245116+01,"https://www.pracuj.pl/praca/product-specialist-m-f-d-warszawa-twarda-18,oferta,1002205957?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Product Specialist (m/f/d),Westwing.pl,"Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca hybrydowa,"Młodszy specjalista (Junior), Specjalista (Mid / Regular)",,,
17096,2022-12-02 13:48:57.248282+01,"https://www.pracuj.pl/praca/samodzielny-a-ksiegowy-a-warszawa,oferta,1002233290?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Samodzielny /a Księgowy /a,Andersen,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
17097,2022-12-02 13:48:58.250571+01,"https://www.pracuj.pl/praca/sprzedawca-kasjer-konstancin-jeziorna,oferta,1002203397?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Sprzedawca – Kasjer,Biedronka (Jeronimo Martins Polska S.A.),Konstancin-Jeziorna,Umowa o pracę,"Część etatu, Pełny etat",praca stacjonarna,Pracownik fizyczny,,,
17098,2022-12-02 13:48:58.253472+01,"https://www.pracuj.pl/praca/doradca-finansowy-warszawa,oferta,1002200706?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Doradca Finansowy,EFL Finance SA,Warszawa,"Umowa o pracę, Kontrakt B2B",Pełny etat,,Specjalista (Mid / Regular),,,
