offer_url,position_name,company_name,company_location,type-of-contract,work-schedule,work-modes,employment-level,immediate-employment,ukrainian-without-polish-language,vacancies
"https://www.pracuj.pl/praca/business-process-consultant-gdpr-warszawa,oferta,1001964760?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Business Process Consultant GDPR,Robert Bosch Sp. z o.o.,"Warszawa, Włochy",Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/senior-transport-data-analyst-warszawa,oferta,1002011184?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Senior Transport Data Analyst,DHL Supply Chain (Poland) Sp. z o.o.,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Starszy specjalista (Senior),,,
"https://www.pracuj.pl/praca/ptp-buying-center-analyst-with-english-and-italian-or-french-or-spanish-warszawa,oferta,1002011166?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","PTP Buying Center Analyst with English and Italian, or French or Spanish",Bacardi-Martini Polska Sp. z o. o. BES,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/specjalista-ds-obslugi-procesow-hurtowni-danych-bi-warszawa,oferta,1001986089?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Specjalista ds. Obsługi Procesów Hurtowni Danych/BI ,GRUPA PZU,Warszawa,Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/analityk-biznesowy-warszawa,oferta,1001964592?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Analityk Biznesowy,Cyfrowy Polsat S.A.,Warszawa,Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/ekspertka-ekspert-ds-analiz-i-raportowania-w-tribe-bankowosc-codzienna-warszawa,oferta,1001964521?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Ekspertka/Ekspert ds. Analiz i Raportowania w Tribe Bankowość Codzienna,BNP Paribas Bank Polska S.A.,"Warszawa, Wola",Umowa o pracę,Pełny etat,"praca hybrydowa, praca zdalna","Starszy specjalista (Senior), Ekspert",praca od zaraz,,
"https://www.pracuj.pl/praca/analityk-biznesowy-warszawa,oferta,1001964592?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Analityk Biznesowy","
Cyfrowy Polsat S.A.
",Warszawa,Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/ekspertka-ekspert-ds-analiz-i-raportowania-w-tribe-bankowosc-codzienna-warszawa,oferta,1001964521?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Ekspertka/Ekspert ds. Analiz i Raportowania w Tribe Bankowość Codzienna","
BNP Paribas Bank Polska S.A.
","Warszawa, Wola",Umowa o pracę,Pełny etat,"praca hybrydowa, praca zdalna","Starszy specjalista (Senior), Ekspert",praca od zaraz,,
"https://www.pracuj.pl/praca/specjalista-w-zakresie-psychiatrii-dzieci-i-mlodziezy-warszawa,oferta,1002010768?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Specjalista w zakresie psychiatrii dzieci i młodzieży","
Sąd Okręgowy Warszawa-Praga w Warszawie
","Warszawa, Praga-Południe",Umowa o pracę,Część etatu,praca stacjonarna,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/marketing-data-analyst-warszawa,oferta,1001985675?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Marketing Data Analyst","
uPacjenta
",Warszawa,"Umowa o pracę, Kontrakt B2B",Pełny etat,"praca stacjonarna, praca hybrydowa",Specjalista (Mid / Regular),praca od zaraz,,
"https://www.pracuj.pl/praca/dynamics-365-consultant-warszawa,oferta,1001985665?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Dynamics 365 Consultant","
Connectis_
",Warszawa,Kontrakt B2B,,praca zdalna,Starszy specjalista (Senior),,,
"https://www.pracuj.pl/praca/data-engineer-konsultant-bi-warszawa,oferta,1001985625?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Data Engineer (Konsultant BI)","
Connectis_
",Warszawa,Kontrakt B2B,,praca zdalna,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/senior-service-delivery-manager-with-german-masovian,oferta,9317708?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Senior Service Delivery Manager with German","
Fujitsu Technology Solutions Sp. z o.o.
",mazowieckie,Umowa o pracę,Pełny etat,"praca hybrydowa, praca zdalna",Starszy specjalista (Senior),,,
"https://www.pracuj.pl/praca/analyst-reporting-analytics-warszawa,oferta,1001964205?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Analyst - Reporting & Analytics","
Bain Global Business Services Center Sp. z o.o. 
","Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/junior-data-extraction-analyst-etl-with-german-or-french-warszawa,oferta,1001975591?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Junior Data Extraction/ Analyst (ETL)  with German or French","
Spring Professional Poland
",Warszawa,Umowa o pracę,Pełny etat,"praca stacjonarna, praca hybrydowa","Młodszy specjalista (Junior), Specjalista (Mid / Regular)",,,
"https://www.pracuj.pl/praca/asset-management-specialist-junior-or-regular-warszawa,oferta,1002010429?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Asset Management Specialist - Junior or Regular","
Grafton Recruitment
",Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Młodszy specjalista (Junior),,,
"https://www.pracuj.pl/praca/ekspert-ds-analiz-danych-ekonomicznych-warszawa,oferta,1001964004?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",	 Ekspert ds. Analiz Danych Ekonomicznych,ALIOR BANK,"Warszawa, Włochy",Umowa o pracę,Pełny etat,praca hybrydowa,Ekspert,,,
"https://www.pracuj.pl/praca/programista-fpga-piaseczno,oferta,1001985257?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Programista FPGA,CREOTECH INSTRUMENTS S.A.,Piaseczno,Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/chief-marketing-officer-cmo-warszawa,oferta,1001973625?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Chief Marketing Officer (CMO),PASSRIGHT sp. z o.o.,Warszawa,Kontrakt B2B,Pełny etat,praca stacjonarna,Dyrektor,,,
"https://www.pracuj.pl/praca/business-analyst-power-bi-warszawa,oferta,1001966389?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Business Analyst (Power BI),DHL Supply Chain (Poland) Sp. z o.o.,Warszawa,Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/analityk-internetowy-warszawa,oferta,1001966613?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Analityk Internetowy,Dr.Max Polska,Warszawa,Umowa o pracę,Pełny etat,"praca hybrydowa, praca zdalna",Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/buying-and-allocation-specialist-warszawa,oferta,1002009897?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Buying and Allocation Specialist,Triumph International,Warszawa,Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/architekt-hurtowni-danych-bi-warszawa,oferta,1002009834?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Architekt Hurtowni Danych/BI ,GRUPA PZU,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Starszy specjalista (Senior),,,
"https://www.pracuj.pl/praca/people-analytics-director-warszawa,oferta,1002009708?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",People Analytics Director,JTI GBS POLAND Sp. z o.o.,"Warszawa, Wola",Umowa o pracę,Pełny etat,,Dyrektor,,,
"https://www.pracuj.pl/praca/customer-project-manager-krakow,oferta,1002009589?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Customer Project Manager,D. Services Eurasia LTD,Kraków,Umowa o pracę,Pełny etat,praca zdalna,Kierownik / Koordynator,,,
"https://www.pracuj.pl/praca/specjalista-it-systemy-digital-warszawa,oferta,1001965808?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Specjalista IT (Systemy Digital),Eurocash S.A.,"Warszawa, Mokotów",Umowa o pracę,Pełny etat,praca hybrydowa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",,,
"https://www.pracuj.pl/praca/aplikant-radcowski-adwokacki-ochrona-danych-osobowych-warszawa,oferta,1002009364?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Aplikant radcowski - adwokacki – ochrona danych osobowych ,ODO 24 sp. z o.o.,"Warszawa, Praga-Południe",Kontrakt B2B,Pełny etat,"praca hybrydowa, praca zdalna",Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/senior-fullstack-developer-warszawa,oferta,1002009275?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Senior Fullstack Developer ,Whoohoo Poland Sp. z o.o.,Warszawa,Kontrakt B2B,,praca zdalna,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",praca od zaraz,,
"https://www.pracuj.pl/praca/inspektor-ochrony-danych-osobowych-iodo-warszawa,oferta,1001984004?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Inspektor ochrony danych osobowych (IODO) ,CARITAS POLSKA,"Warszawa, Wola",Umowa o pracę,Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),,,
